Benchmark program, Rounds, Positive, Negative, Total Time(ms)
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/boxGame.json.time ,  9, 2.000000, 3.000000, 1106.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/boxGamePaper.json.time ,  4, 1.000000, 2.000000, 202.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/diagonalGame.json.time ,  30, 14.000000, 8.000000, 5132.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/evasion.json.time ,  18, 1.000000, 9.000000, 4292.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/evasion_Paper.json.time ,  6, 1.000000, 1.000000, 542.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/follow.json.time ,  217, 1.000000, 147.000000, 64977.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/follow_Paper.json.time ,  11, 1.000000, 6.000000, 717.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/laufband.json.time ,  5, 1.000000, 1.000000, 493.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/multitank.json.time ,  104, 1.000000, 78.000000, 8475.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/program_repair.json.time ,  14, 1.000000, 2.000000, 1069.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/solitaryBoxGame.json.time ,  4, 1.000000, 2.000000, 194.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/square.json.time ,  61, 1.000000, 16.000000, 5951.000000
/home/oliver/DT-synth/benchmarks/infiniteArenaBenchmarks/zweigeradenPaper.json.time ,  23, 10.000000, 6.000000, 2713.000000
